абазины, абазин
фриульцы, фриулец
фульбе, фульба
хакасы, хакас
ханты, ханты
хваршины, хваршин
хазарейцы, хазареец
хехе, хех
химба, химб
хорваты, хорват
хиналугцы, хиналугец
цахуры, цахур
цыгане, цыган
чагосцы, чагосец
чамалалы, чамалал
чараймаки, чараймак
челканцы, челканец
черногорцы, черногорец
чехи, чех
чеченцы, чеченец
чжуаны, чжуан
чуваши, чуваш
чукчи, чукча
чулымцы, чулымец
шаны, шана
шапсуги, шапсуг
шахсевены, шахсевена
шведы, швед
швейцарцы, швейцарец
шерпы, шерп
шиллук, шиллука
шорцы, шорец
шотландцы, шотландец
шошоны, шошон
шугнанцы, шугнанец
шуйцы, шуйца
эвенки, эвенк
эвены, эвен
эде, эда
эквадорцы, эквадорец
экои, экой
эльзасцы, эльзасец
эскимосы, эскимос
эстонцы, эстонец
эфик, эфик
юкагиры, юкагир
яванцы, яванец
якуты, якут
японцы, японец
